t_sec,iter,Fx_1,Fy_1,Fz_1,Mx_1,My_1,Mz_1
0.001089,0,0.247,0.496,21.915,0.03243,-0.00844,-0.00427
0.001993,1,0.249,0.497,21.916,0.03245,-0.00843,-0.00425
0.002679,2,0.249,0.497,21.916,0.03245,-0.00843,-0.00425
0.003412,3,0.249,0.497,21.916,0.03245,-0.00843,-0.00425
0.004147,4,0.249,0.497,21.916,0.03245,-0.00843,-0.00425
0.004895,5,0.249,0.497,21.916,0.03245,-0.00843,-0.00425
0.00563,6,0.249,0.497,21.916,0.03245,-0.00843,-0.00425
0.006365,7,0.249,0.497,21.916,0.03245,-0.00843,-0.00425
0.007095,8,0.249,0.497,21.916,0.03245,-0.00843,-0.00425
0.007834,9,0.249,0.497,21.916,0.03245,-0.00843,-0.00425
0.008569,10,0.249,0.497,21.916,0.03245,-0.00843,-0.00425
0.009307,11,0.221,-0.208,0.432,-0.00052,-0.00493,-0.00153
0.01004,12,0.22,-0.209,0.546,-0.00049,-0.00484,-0.00165
0.010854,13,0.23,-0.204,0.637,-0.00044,-0.00494,-0.00153
0.01154,14,0.23,-0.204,0.637,-0.00044,-0.00494,-0.00153
0.012292,15,0.229,-0.226,0.736,-0.00038,-0.0049,-0.0013
0.013223,16,0.23,-0.225,0.902,-0.00044,-0.00485,-0.00099
0.013949,17,0.235,-0.209,0.985,-0.00047,-0.00482,-0.00118
0.014681,18,0.228,-0.195,0.992,-0.00035,-0.00479,-0.00097
0.015419,19,0.228,-0.195,0.992,-0.00035,-0.00479,-0.00097
0.016153,20,0.231,-0.196,1.052,-0.00049,-0.00492,-0.00124
0.016898,21,0.238,-0.184,1.208,-0.0004,-0.00469,-0.0013
0.017648,22,0.238,-0.184,1.208,-0.0004,-0.00469,-0.0013
0.018381,23,0.232,-0.207,1.233,-0.0003,-0.00476,-0.0013
0.019125,24,0.237,-0.187,1.292,-0.00041,-0.00478,-0.00155
0.019839,25,0.233,-0.194,1.296,-0.00034,-0.00482,-0.00099
0.020575,26,0.233,-0.194,1.296,-0.00034,-0.00482,-0.00099
0.021312,27,0.234,-0.215,1.394,-0.0004,-0.00476,-0.00131
0.022046,28,0.225,-0.211,1.412,-0.00037,-0.0049,-0.00089
0.022786,29,0.238,-0.209,1.434,-0.00044,-0.00477,-0.0005
0.02353,30,0.238,-0.209,1.434,-0.00044,-0.00477,-0.0005
0.024277,31,0.228,-0.214,1.502,-0.00035,-0.00495,-0.00093
0.02524,32,0.248,-0.205,1.558,-0.00049,-0.00484,-0.00087
0.025973,33,0.242,-0.188,1.575,-0.00044,-0.00496,-0.00049
0.026704,34,0.228,-0.168,1.59,-0.00052,-0.0049,-0.00037
0.027456,35,0.228,-0.168,1.59,-0.00052,-0.0049,-0.00037
0.028177,36,0.232,-0.193,1.651,-0.00045,-0.00496,-0.00111
0.028909,37,0.225,-0.199,1.644,-0.00048,-0.00492,-0.00118
0.02965,38,0.225,-0.199,1.644,-0.00048,-0.00492,-0.00118
0.030498,39,0.229,-0.2,1.67,-0.00055,-0.00506,-0.00082
0.031429,40,0.219,-0.15,1.678,-0.00065,-0.00499,-0.0013
0.032412,41,0.233,-0.16,1.696,-0.00055,-0.005,-5e-05
0.033099,42,0.229,-0.168,1.725,-0.00053,-0.00509,0.00012
0.033825,43,0.215,-0.171,1.718,-0.00066,-0.00507,-0.00072
0.034561,44,0.215,-0.171,1.718,-0.00066,-0.00507,-0.00072
0.035324,45,0.218,-0.181,1.711,-0.00051,-0.0051,-0.00049
0.036037,46,0.214,-0.182,1.721,-0.00048,-0.00517,-0.00021
0.036773,47,0.241,-0.173,1.737,-0.00064,-0.00514,-0.0001
0.03751,48,0.241,-0.173,1.737,-0.00064,-0.00514,-0.0001
0.038249,49,0.217,-0.169,1.762,-0.00065,-0.00513,-0.00047
0.039329,50,0.23,-0.176,1.769,-0.00058,-0.00506,-0.00059
0.040236,51,0.238,-0.169,1.757,-0.00069,-0.00502,-0.00016
0.041204,52,0.242,-0.16,1.791,-0.00066,-0.00499,-0.00027
0.041941,53,0.235,-0.172,1.804,-0.00066,-0.00507,-0.0007
0.042677,54,0.235,-0.172,1.804,-0.00066,-0.00507,-0.0007
0.043419,55,0.212,-0.16,1.815,-0.00069,-0.00517,-0.00082
0.044134,56,0.214,-0.159,1.784,-0.00062,-0.00513,-0.0006
0.044863,57,0.227,-0.146,1.776,-0.00077,-0.00511,-0.00041
0.045599,58,0.227,-0.146,1.776,-0.00077,-0.00511,-0.00041
0.046333,59,0.214,-0.141,1.812,-0.00089,-0.00525,-0.00019
0.047069,60,0.222,-0.181,1.791,-0.00084,-0.00506,-0.00065
0.047814,61,0.21,-0.159,1.791,-0.00075,-0.00508,-0.00048
0.048552,62,0.21,-0.159,1.791,-0.00075,-0.00508,-0.00048
0.049277,63,0.24,-0.153,1.792,-0.00068,-0.00519,-0.00081
0.050047,64,0.224,-0.152,1.831,-0.00079,-0.00527,-0.00127
0.050783,65,0.227,-0.166,1.809,-0.00079,-0.00527,4e-05
0.051521,66,0.227,-0.166,1.809,-0.00079,-0.00527,4e-05
0.052267,67,0.228,-0.153,1.809,-0.00092,-0.00521,-0.00013
0.053251,68,0.227,-0.153,1.793,-0.00074,-0.00517,-0.00059
0.054237,69,0.214,-0.163,1.823,-0.00069,-0.00511,-0.00086
0.05523,70,0.214,-0.134,1.846,-0.0008,-0.00509,-0.00059
0.056268,71,0.22,-0.154,1.795,-0.00073,-0.00515,-2e-05
0.057175,72,0.21,-0.134,1.8,-0.00086,-0.00514,-0.00043
0.057898,73,0.233,-0.149,1.808,-0.0008,-0.0052,-0.00068
0.058625,74,0.233,-0.149,1.808,-0.0008,-0.0052,-0.00068
0.059358,75,0.213,-0.136,1.773,-0.0008,-0.00526,-0.0004
0.060088,76,0.226,-0.133,1.798,-0.00091,-0.00513,-0.00035
0.060819,77,0.215,-0.141,1.817,-0.00086,-0.00533,-0.00056
0.061555,78,0.215,-0.141,1.817,-0.00086,-0.00533,-0.00056
0.062289,79,0.216,-0.137,1.797,-0.00095,-0.00532,-0.00031
0.06303,80,0.237,-0.154,1.832,-0.00082,-0.00521,-0.00092
0.063764,81,0.216,-0.137,1.802,-0.00097,-0.00533,-0.00089
0.064526,82,0.216,-0.137,1.802,-0.00097,-0.00533,-0.00089
0.065227,83,0.21,-0.119,1.821,-0.00105,-0.00525,-0.00018
0.065963,84,0.215,-0.147,1.787,-0.00105,-0.00529,-0.00026
0.0667,85,0.239,-0.142,1.82,-0.00091,-0.00515,1e-05
0.067439,86,0.239,-0.142,1.82,-0.00091,-0.00515,1e-05
0.068175,87,0.228,-0.147,1.824,-0.0009,-0.00525,-0.0003
0.069014,88,0.229,-0.147,1.791,-0.001,-0.00516,-0.00094
0.069968,89,0.24,-0.153,1.805,-0.00096,-0.00517,0.00016
0.070952,90,0.226,-0.151,1.794,-0.00088,-0.0051,-0.00016
0.071957,91,0.23,-0.118,1.811,-0.00094,-0.00516,-0.00078
0.072936,92,0.208,-0.121,1.798,-0.00096,-0.00514,-0.00096
0.073971,93,0.195,-0.116,1.805,-0.00108,-0.00516,-0.0003
0.074857,94,0.233,-0.122,1.818,-0.00092,-0.00522,-0.00038
0.075581,95,0.233,-0.122,1.818,-0.00092,-0.00522,-0.00038
0.076309,96,0.224,-0.1,1.846,-0.00111,-0.00526,-0.00027
0.077039,97,0.221,-0.145,1.838,-0.00095,-0.00522,-0.00067
0.077773,98,0.221,-0.116,1.824,-0.00106,-0.00526,-2e-05
0.078503,99,0.221,-0.116,1.824,-0.00106,-0.00526,-2e-05
0.079235,100,0.232,-0.138,1.817,-0.00101,-0.00516,-8e-05
0.08022,101,0.231,-0.142,1.817,-0.001,-0.00517,-0.00033
0.080948,102,0.242,-0.146,1.802,-0.00089,-0.00534,-0.00012
0.081677,103,0.251,-0.131,1.804,-0.00085,-0.00514,-0.00033
0.082417,104,0.251,-0.131,1.804,-0.00085,-0.00514,-0.00033
0.083156,105,0.217,-0.137,1.816,-0.00101,-0.00538,-0.00032
0.083891,106,0.239,-0.138,1.794,-0.00098,-0.00524,-0.0003
0.084615,107,0.239,-0.138,1.794,-0.00098,-0.00524,-0.0003
0.085351,108,0.23,-0.113,1.795,-0.00115,-0.00523,-0.00015
0.086154,109,0.221,-0.115,1.76,-0.00103,-0.00524,-0.00068
0.08686,110,0.229,-0.109,1.772,-0.00108,-0.00524,-0.00054
0.087602,111,0.229,-0.109,1.772,-0.00108,-0.00524,-0.00054
0.088338,112,0.226,-0.121,1.769,-0.00102,-0.00526,3e-05
0.089105,113,0.231,-0.127,1.76,-0.00099,-0.00524,-0.00035
0.089832,114,0.242,-0.118,1.766,-0.00104,-0.00534,-0.00038
0.090504,115,0.242,-0.118,1.766,-0.00104,-0.00534,-0.00038
0.091236,116,0.227,-0.137,1.778,-0.00089,-0.00535,-0.0006
0.09198,117,0.226,-0.125,1.79,-0.00094,-0.00523,-0.00016
0.092701,118,0.235,-0.126,1.761,-0.0009,-0.00529,0.0
0.093435,119,0.235,-0.126,1.761,-0.0009,-0.00529,0.0
0.094178,120,0.213,-0.13,1.79,-0.001,-0.00522,-0.00034
0.09519,121,0.215,-0.121,1.772,-0.00097,-0.0052,-0.00036
0.095891,122,0.223,-0.132,1.783,-0.00101,-0.00535,-0.00082
0.096622,123,0.223,-0.132,1.783,-0.00101,-0.00535,-0.00082
0.097361,124,0.214,-0.125,1.769,-0.00102,-0.00545,-0.00035
0.098088,125,0.219,-0.117,1.755,-0.00112,-0.00526,-0.00028
0.098819,126,0.223,-0.132,1.771,-0.001,-0.00521,-3e-05
0.099561,127,0.223,-0.132,1.771,-0.001,-0.00521,-3e-05
0.100332,128,0.217,-0.131,1.807,-0.00109,-0.00525,-0.00055
0.10105,129,0.227,-0.125,1.804,-0.00112,-0.00518,-0.00047
0.101784,130,0.226,-0.129,1.762,-0.00111,-0.00514,0.00011
0.102522,131,0.226,-0.129,1.762,-0.00111,-0.00514,0.00011
0.103265,132,0.228,-0.153,1.76,-0.00095,-0.00525,-0.00023
0.104251,133,0.229,-0.122,1.773,-0.00099,-0.00525,-3e-05
0.105231,134,0.233,-0.118,1.76,-0.0011,-0.00514,-0.00032
0.105951,135,0.231,-0.105,1.79,-0.0012,-0.00527,-0.00023
0.106688,136,0.242,-0.122,1.737,-0.00112,-0.00513,-0.00074
0.107426,137,0.242,-0.122,1.737,-0.00112,-0.00513,-0.00074
0.108155,138,0.227,-0.13,1.747,-0.00108,-0.00523,-0.00035
0.108886,139,0.224,-0.105,1.775,-0.0011,-0.00524,-0.00041
0.109641,140,0.24,-0.117,1.738,-0.00114,-0.00511,0.00016
0.110339,141,0.24,-0.117,1.738,-0.00114,-0.00511,0.00016
0.111068,142,0.216,-0.116,1.765,-0.00109,-0.00528,-0.00084
0.111805,143,0.24,-0.127,1.742,-0.00096,-0.00527,-0.00049
0.112537,144,0.24,-0.127,1.742,-0.00096,-0.00527,-0.00049
0.113273,145,0.228,-0.118,1.761,-0.00115,-0.00519,-0.00075
0.114007,146,0.234,-0.101,1.761,-0.00119,-0.00526,-0.00021
0.114752,147,0.23,-0.111,1.762,-0.00109,-0.00526,0.00068
0.115479,148,0.23,-0.111,1.762,-0.00109,-0.00526,0.00068
0.116247,149,0.219,-0.113,1.747,-0.00099,-0.00532,7e-05
0.117226,150,0.213,-0.142,1.739,-0.00109,-0.00528,0.00011
0.117966,151,0.233,-0.126,1.78,-0.00113,-0.00525,0.0
0.118703,152,0.228,-0.099,1.771,-0.00114,-0.00528,-1e-05
0.119445,153,0.228,-0.099,1.771,-0.00114,-0.00528,-1e-05
0.120178,154,0.236,-0.13,1.774,-0.00116,-0.00523,0.00015
0.120916,155,0.221,-0.1,1.749,-0.0012,-0.00524,0.00014
0.121659,156,0.241,-0.119,1.76,-0.00101,-0.00524,-0.00015
0.122401,157,0.241,-0.119,1.76,-0.00101,-0.00524,-0.00015
0.123139,158,0.232,-0.091,1.755,-0.00119,-0.00522,-2e-05
0.123875,159,0.22,-0.087,1.728,-0.00121,-0.00527,-0.00029
0.124651,160,0.22,-0.087,1.728,-0.00121,-0.00527,-0.00029
0.125573,161,0.221,-0.105,1.72,-0.00124,-0.00523,-0.00027
0.126292,162,0.234,-0.111,1.728,-0.00112,-0.0052,-0.00038
0.12702,163,0.229,-0.087,1.721,-0.00119,-0.0052,0.00021
0.127757,164,0.225,-0.131,1.742,-0.00107,-0.00522,3e-05
0.128504,165,0.225,-0.131,1.742,-0.00107,-0.00522,3e-05
0.129229,166,0.228,-0.085,1.757,-0.00125,-0.00517,-0.00027
0.12997,167,0.228,-0.094,1.745,-0.00116,-0.00526,-9e-05
0.13069,168,0.225,-0.117,1.736,-0.00122,-0.0053,-0.00088
0.131423,169,0.225,-0.117,1.736,-0.00122,-0.0053,-0.00088
0.132167,170,0.229,-0.11,1.758,-0.00117,-0.00538,-0.00071
0.132896,171,0.238,-0.112,1.723,-0.0012,-0.00532,-0.00019
0.133631,172,0.238,-0.112,1.723,-0.0012,-0.00532,-0.00019
0.134374,173,0.236,-0.103,1.755,-0.00114,-0.00529,-0.00016
0.135107,174,0.244,-0.116,1.764,-0.00113,-0.00531,-9e-05
0.135843,175,0.228,-0.104,1.741,-0.00121,-0.00534,-0.00068
0.136578,176,0.228,-0.104,1.741,-0.00121,-0.00534,-0.00068
0.137321,177,0.225,-0.125,1.712,-0.00118,-0.00522,-0.00042
0.138135,178,0.226,-0.1,1.636,-0.00111,-0.00533,-0.00042
0.139122,179,0.236,-0.095,1.732,-0.00112,-0.00531,-0.00091
0.140114,180,0.234,-0.1,1.739,-0.00121,-0.0052,-0.00047
0.141169,181,0.24,-0.096,1.739,-0.00125,-0.00526,5e-05
0.142118,182,0.225,-0.12,1.719,-0.00126,-0.00525,-0.00029
0.142839,183,0.221,-0.11,1.72,-0.00114,-0.0053,-0.00024
0.143562,184,0.221,-0.11,1.72,-0.00114,-0.0053,-0.00024
0.144298,185,0.256,-0.073,1.728,-0.00132,-0.0052,-0.00045
0.145107,186,0.251,-0.107,1.743,-0.00111,-0.00525,-0.00063
0.146043,187,0.225,-0.11,1.737,-0.00115,-0.00527,-0.00041
0.146769,188,0.223,-0.108,1.702,-0.00112,-0.00525,-0.00088
0.14751,189,0.223,-0.108,1.702,-0.00112,-0.00525,-0.00088
0.148231,190,0.226,-0.116,1.76,-0.00122,-0.00521,-0.0001
0.14921,191,0.23,-0.097,1.728,-0.00122,-0.00522,-0.00012
0.149936,192,0.21,-0.095,1.706,-0.00123,-0.00529,-0.00069
0.150666,193,0.22,-0.133,1.687,-0.00114,-0.00534,-0.00012
0.151402,194,0.22,-0.133,1.687,-0.00114,-0.00534,-0.00012
0.152141,195,0.231,-0.099,1.724,-0.00125,-0.00528,-2e-05
0.152889,196,0.244,-0.107,1.724,-0.00116,-0.0052,-0.00023
0.153622,197,0.244,-0.107,1.724,-0.00116,-0.0052,-0.00023
0.154354,198,0.237,-0.113,1.713,-0.00121,-0.00518,-0.00028
0.15508,199,0.233,-0.114,1.704,-0.00118,-0.00528,0.00027
0.15582,200,0.245,-0.117,1.697,-0.00109,-0.00508,-0.00073
0.156556,201,0.245,-0.117,1.697,-0.00109,-0.00508,-0.00073
0.157295,202,0.248,-0.095,1.703,-0.00121,-0.00517,-8e-05
0.158263,203,0.231,-0.113,1.704,-0.00116,-0.0052,-0.00099
0.159224,204,0.24,-0.098,1.736,-0.00132,-0.00523,-0.00119
0.159959,205,0.233,-0.145,1.702,-0.00103,-0.00533,-0.00071
0.160688,206,0.233,-0.132,1.734,-0.00106,-0.00533,-0.00055
0.161419,207,0.233,-0.132,1.734,-0.00106,-0.00533,-0.00055
0.162156,208,0.231,-0.095,1.706,-0.00122,-0.0052,-0.00028
0.162891,209,0.234,-0.104,1.705,-0.00129,-0.00538,-0.0007
0.163622,210,0.234,-0.104,1.705,-0.00129,-0.00538,-0.0007
0.164357,211,0.231,-0.107,1.697,-0.0012,-0.00527,-0.00027
0.165091,212,0.244,-0.109,1.7,-0.00131,-0.00522,0.0001
0.165827,213,0.235,-0.1,1.718,-0.00137,-0.00522,-0.00019
0.166567,214,0.235,-0.1,1.718,-0.00137,-0.00522,-0.00019
0.16731,215,0.237,-0.106,1.722,-0.0012,-0.00521,-0.00026
0.168043,216,0.23,-0.083,1.734,-0.00132,-0.00539,0.0002
0.168782,217,0.227,-0.102,1.695,-0.00123,-0.00533,-0.00057
0.169521,218,0.227,-0.102,1.695,-0.00123,-0.00533,-0.00057
0.170268,219,0.236,-0.107,1.728,-0.00118,-0.00532,-0.00037
0.171243,220,0.244,-0.097,1.7,-0.00129,-0.00522,-0.0003
0.172233,221,0.253,-0.105,1.711,-0.00115,-0.00514,-6e-05
0.173236,222,0.238,-0.106,1.692,-0.00114,-0.00512,-0.00047
0.174165,223,0.241,-0.073,1.718,-0.0013,-0.00522,-0.00047
0.174888,224,0.249,-0.1,1.683,-0.00131,-0.00522,0.00013
0.175619,225,0.24,-0.096,1.678,-0.00117,-0.00522,-0.00041
0.17635,226,0.24,-0.096,1.678,-0.00117,-0.00522,-0.00041
0.177081,227,0.242,-0.106,1.696,-0.0012,-0.00516,-0.00029
0.177863,228,0.24,-0.097,1.674,-0.0013,-0.00543,-0.00034
0.178591,229,0.24,-0.097,1.674,-0.0013,-0.00543,-0.00034
0.179323,230,0.254,-0.107,1.681,-0.00114,-0.00523,-0.00042
0.180063,231,0.258,-0.092,1.69,-0.00124,-0.00518,-0.00022
0.180804,232,0.231,-0.111,1.692,-0.00113,-0.00535,9e-05
0.18155,233,0.231,-0.111,1.692,-0.00113,-0.00535,9e-05
0.182289,234,0.249,-0.101,1.705,-0.00122,-0.00528,-6e-05
0.183279,235,0.252,-0.109,1.704,-0.00128,-0.00521,-0.00065
0.184261,236,0.23,-0.108,1.656,-0.00131,-0.00532,-0.00026
0.185246,237,0.229,-0.109,1.653,-0.00116,-0.00524,-0.00056
0.186262,238,0.229,-0.107,1.656,-0.00123,-0.00537,5e-05
0.187233,239,0.243,-0.115,1.696,-0.00119,-0.0053,-0.00073
0.188192,240,0.224,-0.12,1.693,-0.00127,-0.00521,-0.00018
0.189177,241,0.234,-0.085,1.679,-0.00126,-0.00521,-0.00076
0.189947,242,0.225,-0.096,1.685,-0.00122,-0.00539,-0.00105
0.190892,243,0.235,-0.096,1.695,-0.00119,-0.00531,-0.00064
0.191616,244,0.235,-0.096,1.695,-0.00119,-0.00531,-0.00064
0.192353,245,0.25,-0.097,1.681,-0.00127,-0.00521,-0.00031
0.193073,246,0.234,-0.096,1.653,-0.0012,-0.00523,-0.0007
0.193806,247,0.243,-0.093,1.612,-0.00128,-0.00522,-0.00052
